context,scope,cancer,geneA,geneB,model,varianceEstimator,adjustmentTerms,nPatients,nEvents,nStudies,nStrata,coefficient,standardError,hazardRatio,ciLow,ciHigh,p,fdr,fitStatus
KEAP1–STK11 (pan-cancer),pan-cancer,PAN-CANCER,KEAP1,STK11,four-group study-clustered sensitivity,study-clustered sandwich,none,58386,19231,93,201,0.8333242144,0.08575752719,2.300954909,1.944962214,2.722106092,2.546544656e-22,3.310508053e-21,estimated
KEAP1–STK11 (pan-cancer),pan-cancer,PAN-CANCER,KEAP1,STK11,four-group zero-time sensitivity,model-based,none,58875,19511,93,201,0.8359082392,0.05694449002,2.306908322,2.063284416,2.579298309,8.742131304e-49,3.788256898e-48,estimated
KEAP1–STK11 (pan-cancer),pan-cancer,PAN-CANCER,KEAP1,STK11,four-group zero-time study-clustered sensitivity,study-clustered sandwich,none,58875,19511,93,201,0.8359082392,0.08082979547,2.306908322,1.968919177,2.702917451,4.569146697e-25,5.939890705e-24,estimated
KRAS–TP53 (pan-cancer),pan-cancer,PAN-CANCER,KRAS,TP53,four-group age/sex complete-case,model-based,standardised age + recorded sex,18541,7013,85,100,0.3865066245,0.07985302365,1.471830147,1.258596957,1.721189592,1.296920199e-06,8.429981295e-06,estimated
KRAS–TP53 (pan-cancer),pan-cancer,PAN-CANCER,KRAS,TP53,four-group primary,model-based,none,72612,25531,139,332,0.5829216243,0.03019368827,1.791264194,1.688335416,1.900467989,4.775083522e-83,6.207608579e-82,estimated
KRAS–TP53 (pan-cancer),pan-cancer,PAN-CANCER,KRAS,TP53,four-group study-clustered sensitivity,study-clustered sandwich,none,72612,25531,139,332,0.5829216243,0.0669200904,1.791264194,1.571075878,2.042312188,3.019723966e-18,1.308547052e-17,estimated
KRAS–TP53 (pan-cancer),pan-cancer,PAN-CANCER,KRAS,TP53,four-group zero-time sensitivity,model-based,none,73200,25830,139,332,0.5901905096,0.02991333078,1.804332125,1.701587193,1.913280983,1.191314719e-86,1.548709135e-85,estimated
KRAS–TP53 (pan-cancer),pan-cancer,PAN-CANCER,KRAS,TP53,four-group zero-time study-clustered sensitivity,study-clustered sandwich,none,73200,25830,139,332,0.5901905096,0.06898899266,1.804332125,1.576133299,2.065570482,1.180217189e-17,5.114274484e-17,estimated
PIK3CA–PIK3R1 (pan-cancer),pan-cancer,PAN-CANCER,PIK3CA,PIK3R1,four-group age/sex complete-case,model-based,standardised age + recorded sex,14787,5272,75,86,-0.5092471505,0.234418424,0.6009478318,0.3795766149,0.9514239877,0.02982660892,0.0484682395,estimated
PIK3CA–PIK3R1 (pan-cancer),pan-cancer,PAN-CANCER,PIK3CA,PIK3R1,four-group primary,model-based,none,66845,22987,123,276,-0.4335728949,0.1140079908,0.6481890412,0.5183915414,0.8104858965,0.0001429517942,0.0003097288875,estimated
PIK3CA–PIK3R1 (pan-cancer),pan-cancer,PAN-CANCER,PIK3CA,PIK3R1,four-group study-clustered sensitivity,study-clustered sandwich,none,66845,22987,123,276,-0.4335728949,0.0753763392,0.6481890412,0.5591666073,0.7513843418,8.813710754e-09,1.90963733e-08,estimated
PIK3CA–PIK3R1 (pan-cancer),pan-cancer,PAN-CANCER,PIK3CA,PIK3R1,four-group zero-time sensitivity,model-based,none,67336,23267,123,276,-0.3956599536,0.1113256699,0.6732355884,0.5412606858,0.8373897631,0.0003793087791,0.0007044305897,estimated
PIK3CA–PIK3R1 (pan-cancer),pan-cancer,PAN-CANCER,PIK3CA,PIK3R1,four-group zero-time study-clustered sensitivity,study-clustered sandwich,none,67336,23267,123,276,-0.3956599536,0.07602552328,0.6732355884,0.580034763,0.7814120574,1.947247619e-07,4.219036508e-07,estimated
PIK3CA–TP53 (pan-cancer),pan-cancer,PAN-CANCER,PIK3CA,TP53,four-group age/sex complete-case,model-based,standardised age + recorded sex,18541,7013,85,100,0.2795363721,0.07142643199,1.322516515,1.149748402,1.521245803,9.092026031e-05,0.0003939877947,estimated
PIK3CA–TP53 (pan-cancer),pan-cancer,PAN-CANCER,PIK3CA,TP53,four-group primary,model-based,none,72535,25497,139,329,0.4435872798,0.0311512161,1.558287216,1.465991812,1.656393323,5.187071251e-46,2.247730875e-45,estimated
PIK3CA–TP53 (pan-cancer),pan-cancer,PAN-CANCER,PIK3CA,TP53,four-group study-clustered sensitivity,study-clustered sandwich,none,72535,25497,139,329,0.4435872798,0.06607341009,1.558287216,1.369007159,1.77373729,1.899427798e-11,6.173140345e-11,estimated
PIK3CA–TP53 (pan-cancer),pan-cancer,PAN-CANCER,PIK3CA,TP53,four-group zero-time sensitivity,model-based,none,73123,25796,139,329,0.453437151,0.0308751762,1.573711986,1.481304202,1.671884418,7.909309159e-49,3.788256898e-48,estimated
