scope,cancer,geneA,geneB,geneAFrequency,geneBFrequency,frequencyThreshold,nPatients,nEvents,nDoubleNegative,nBOnly,nAOnly,nDoubleMutant,nStudies,nStrata,eligible,eligibilityRule
cancer-specific,COADREAD,FBXW7,TP53,0.14824366385060025,0.659670964873277,0.1,5693,1305,1504,3322,307,560,15,15,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,KMT2C,LRP1B,0.10190097259062776,0.15318302387267904,0.1,1269,372,992,156,71,50,7,7,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,KMT2C,MUC16,0.10190097259062776,0.15671971706454466,0.1,1269,372,909,239,55,66,7,7,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,KMT2D,KRAS,0.10951574065816463,0.3986444305716579,0.1,5693,1305,2965,2067,440,221,15,15,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,KMT2D,LRP1B,0.10809018567639257,0.15318302387267904,0.1,1269,372,976,147,87,59,7,7,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,KMT2D,MUC16,0.10809018567639257,0.15671971706454466,0.1,1269,372,904,219,60,86,7,7,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,KMT2D,PIK3CA,0.10951574065816463,0.19388210113261392,0.1,5663,1291,4108,894,403,258,14,14,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,KMT2D,SMAD4,0.10951574065816463,0.14010523499509497,0.1,5693,1305,4353,679,548,113,15,15,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,KMT2D,TP53,0.10951574065816463,0.6591456345313476,0.1,5693,1305,1440,3592,371,290,15,15,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,KRAS,LRP1B,0.34877085162423177,0.15452151009657594,0.1,1269,372,690,136,373,70,7,7,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,KRAS,MUC16,0.34880636604774534,0.15671971706454466,0.1,1269,372,634,192,330,113,7,7,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,KRAS,PIK3CA,0.3984882169853268,0.19350822587816807,0.1,5693,1305,2891,514,1650,638,15,15,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,KRAS,SMAD4,0.3984882169853268,0.1401511783014673,0.1,5693,1305,3026,379,1875,413,15,15,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,KRAS,TP53,0.3984882169853268,0.659670964873277,0.1,5693,1305,932,2473,879,1409,15,15,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,LRP1B,MUC16,0.15318302387267904,0.15671971706454466,0.1,1269,372,850,213,114,92,7,7,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
